;fa_1;cl_1;cl_2;fl_1;wh_1;wh_2;fs_1;fs_2;eo_1;eo_2;hs_1;sb_1
KP;4;;7.4;0.404;;27.23;5580;53.3;;0.65;20.4;1.5
XK;2;;1.8;0.295;;16.82;;;;;;
HR;4;;1.8;0.404;11.9;4.42;3120;;;0.711;3.8;20.8
CU;0;;7.3;0.332;;2.59;225;0.5;very low;0.745;16.9;22.8
KW;1;;2.9;0.467;;;60;0;;0.628;5.9;11.44
LA;0;10;7.4;0.295;;32.1;626000;47.7;;0.703;27.7;0
LS;2;22.9;22.4;0.674;;;935;34.6;;0.695;16.6;
LV;4;;1.8;0.404;;1.75;370;;low;0.756;5;12.6
LB;2;1.9;2.9;0.626;;;500000;0.2;high;0.596;10.3;
LR;2;20.8;22.4;0.638;;39.64;;37;very high;0.669;24.2;11.42
LY;0;;19.6;1.13;;;450;1.6;;;11.2;6.55
LI;;;1.8;;;;;;;;0;
LT;3;;1.8;0.404;4.6;1.51;380;;low;0.742;10;18.8
LU;4;;1.8;0.018;4.2;7.08;1923;;;0.706;2.4;
MG;3;22.9;22.4;0.674;16.7;32.98;108019;71.1;;0.692;24.6;2.39
MW;3;39.3;22.4;0.674;;;8242;63.5;;0.672;19.4;6.06
MY;2;;7.4;0.425;;22.03;900;0.1;;0.67;12.7;2.99
MV;2;;7.4;;;43.59;3100;1.6;;0.669;14.3;
ML;3;55.8;22.4;0.626;;30.4;40000;40.2;very high;0.583;25.1;4.88
MT;4;;1.8;;9.4;5.45;728;;;0.682;10;
MA;2;8.3;19.6;0.639;;42.49;2334;1.1;;0.598;15.6;2.6
MH;;;7.4;;;;;;;;0;
MR;2;37.6;22.4;1.058;;;30000;3.6;very high;0.614;23.2;4.87
MU;;;22.4;0.165;22.1;15.96;4493;0.2;;0.664;20.6;
MK;2;13;1.8;0.639;18.7;3.77;14563;2.1;;0.702;10.9;17.56
MX;2;12.4;7.3;0.297;26.2;28.15;1641;3.5;;0.692;15.9;7.6
FM;;;7.4;;;;;;;;12.8;
MD;2;16;6;0.295;4.9;6.29;1000;0;;0.74;8.3;8.1
MC;;;1.8;;;;10;;;;0;
MN;3;17.3;7.4;0.295;;25.95;192000;0.2;very low;;19.3;0.7
ME;3;12.5;1.8;0.404;;8.44;0;0.1;;0.693;0;23.7
MZ;2;22.2;22.4;0.52;;39.83;3943;54.7;;0.741;19.3;0.2
MM;0;9;7.4;0.956;;55.25;;18.5;high;0.691;26.2;
NA;4;;22.4;0.674;;41.15;;10;;0.777;17.8;3.4
NR;;;7.4;;;;;;;;0;
NP;2;37.4;7.4;0.823;;42.25;8000;5.7;very low;0.664;28.8;0
NZ;4;;7.4;0.018;23.6;12.48;2383;;;0.791;5.3;4.3
NI;2;14.5;7.3;0.404;;25.13;3484;2.1;;0.814;18.4;2.3
NL;4;;1.8;0.104;7;5.15;1537;;;0.737;1.3;24.3
NE;3;30.5;22.4;0.638;;;30047;43.5;very high;;25.2;3.29
NG;3;24.7;22.4;0.481;;29.93;18000;48.8;very high;0.641;24.1;3.7
NO;4;;1.8;0.018;5.3;4.29;;;;0.83;2.7;25.6
OM;2;;2.9;0.295;;;325;0;;;7.1;0.2
AT;4;;1.8;0.018;;5.91;;;;0.709;6;29
TP;2;4;7.4;0.286;;23.72;115;2.7;high;0.628;29.2;
PK;2;;7.4;1.13;44.4;36.55;10000;4.1;high;0.546;15.3;0.2
PW;;;7.4;;;;;;;;6.7;
PA;3;2.5;7.3;0.404;17.3;8.21;366;1.4;very low;0.722;15.4;6.59
PG;;;7.4;0.62;;;437;19.4;;;26.5;3.17
PY;2;27.6;7.3;0.404;;41.21;1659890;1.4;;0.678;19.9;2.8
PE;2;21.8;7.3;0.639;50.9;26.41;850;3;;0.719;13.4;0
PH;3;11.1;7.4;0.398;;18.35;12155;3.9;;0.79;18.1;1.55
PL;4;;6;0.476;19.3;6.03;1850;;;0.728;4.7;1
PT;4;3.4;1.8;0.123;10.6;7.42;618;;;0.734;6.7;21.4
RW;2;28.5;22.4;0.638;;24.48;2167;48.6;;0.822;19.8;7.31
RO;3;0.9;6;0.404;18.2;2.61;1250;;;0.708;11;17.1
RU;2;;6;0.732;3.2;2.23;7500;0;;0.696;8.7;10.4
SB;;47.8;7.4;;;;780;17.8;;;27.4;8.25
ZM;3;40.6;22.4;0.674;;;700000;51;very high;;19.4;
WS;;;7.4;;;25.16;;;;;23.4;
SM;;;1.8;;;;;;;;0;
ST;;26;22.4;;;;;;;;23.5;
SA;0;;2.9;0.292;;30.22;3000;0;;0.584;7.9;0.6
SE;4;;1.8;0.018;;4.68;;;;0.816;1.3;28.13
CH;4;;1.8;0.018;19.2;10.53;;;;0.755;1.4;19.8
SN;3;23;22.4;0.52;;50.27;36244;33.7;;0.684;24.8;3.2
RS;3;9.5;1.8;0.404;;8.6;28379;0.1;very low;0.727;;23.1
SC;;;22.4;;;15.17;;;;;21.2;
SL;2;37.4;22.4;0.674;;31.37;25000;45.6;very high;;24;1
ZW;1;;22.4;0.638;;;;60.7;;0.717;18.7;0.1
SG;1;;7.4;0.165;;;;0;;0.702;3.3;
SK;4;;6;0.228;9.2;4.5;405;;;0.694;5.3;21.4
SI;4;;1.8;0.228;20.6;5.53;791;;very low;0.805;5.5;24.8
SO;;49;22.4;1.13;;;;30.9;very high;;20.3;
ES;4;;1.8;0.018;12.1;4.45;764;;very low;0.746;4.2;25.1
LK;3;1;7.4;0.221;26.7;31.05;5888;1.1;;0.669;14.5;2
KN;;;7.3;;;;;;;;19.9;
LC;;3.9;7.3;;;;;;;;16;
VC;;;7.3;;;;;;;;16.6;
ZA;4;;22.4;0.453;;18.59;2474;6.2;;0.756;16.4;7.8
SD;0;24.9;19.6;1.13;;;425;6.4;very high;;21.4;2.27
SS;;;22.4;1.13;;;;;;;;
SR;3;4.1;7.3;0.453;;;;5.3;;0.689;16;
SZ;2;7.3;22.4;0.674;;;657;19.1;;0.67;19;
SY;0;4;2.9;1.13;;;;26;very high;0.568;13.6;1.91
TJ;1;10;4.1;0.638;;32.02;250;4;;0.678;9.5;0.9
TZ;2;29;22.4;0.638;30;59.98;100000;36.8;high;0.7;19.2;1.1
TH;2;8.3;7.4;0.626;46.7;15.62;7800;0;;0.694;20.3;0.3
TG;2;27.9;22.4;0.638;;;28000;37.9;;;23.8;2.1
TO;;;7.4;;;;;;;;22.5;
TT;3;0.7;7.3;0.453;;;2167;0.1;very low;;14.8;
TD;2;51.5;22.4;0.638;;;60000;39;very high;0.575;24.9;1.31
